period,name,total_return,maxdd
GFC,trend3_plus_0pct_static_qqq,-0.03319922613645887,-0.12114509044907973
GFC,trend3_plus_10pct_static_qqq,-0.058397107394745906,-0.16026535876125525
GFC,trend3_plus_20pct_static_qqq,-0.08448979002211199,-0.19877475149274648
GFC,trend3_plus_25pct_static_qqq,-0.09784146888617917,-0.2226521959391904
GFC,trend3_plus_33pct_static_qqq,-0.12049792404670567,-0.26153364753678965
GFC,trend3_plus_50pct_static_qqq,-0.16711901307929977,-0.3365635557455572
COVID,trend3_plus_0pct_static_qqq,-0.1470489868927739,-0.15975520271759192
COVID,trend3_plus_10pct_static_qqq,-0.16068688325789326,-0.17213270940777514
COVID,trend3_plus_20pct_static_qqq,-0.17422800387553905,-0.1848729126228973
COVID,trend3_plus_25pct_static_qqq,-0.18096252008635794,-0.19133644077883605
COVID,trend3_plus_33pct_static_qqq,-0.19213365330310583,-0.2020581653183361
COVID,trend3_plus_50pct_static_qqq,-0.2142785560525301,-0.2233125754138141
2022,trend3_plus_0pct_static_qqq,-0.11177057322077244,-0.11624349559417846
2022,trend3_plus_10pct_static_qqq,-0.13435278287516605,-0.14017854622747883
2022,trend3_plus_20pct_static_qqq,-0.15687337250404343,-0.16399764673335793
2022,trend3_plus_25pct_static_qqq,-0.16810322864277738,-0.17585616183892805
2022,trend3_plus_33pct_static_qqq,-0.18676404244345113,-0.19553397260437688
2022,trend3_plus_50pct_static_qqq,-0.22383284669500703,-0.2345203825083042
